,recipe,ingredients
118,Cinnamon Powder,"Cinnamon Fragrant aroma and wonderful flavor*NEWLINE*,Used mainly for desserts,fruit preparations and beverages*NEWLINE*,Can also be use in meat stews,rice and vegetables*NEWLINE*,One of the oldest spices known*NEWLINE*,Gluten free"
119,Decor Hard Cinnamon Decorating Candy,"Sugar,Corn Syrup,Artificial Flavor,Gum Arabic,Confectioner's Glaze,Carnauba Wax,Red 40."
120,"Underwood Roast Beef Spread, 4.25 Oz","Beef,Water,Seasoning (Dehydrated Potatoes [Sodium Bisulfite], Hydrolyzed Corn, Wheat*, And Soy Proteins* {Torula Yeast, Monosodium Glutamate, Natural Flavors, Onion Powder, Sugar}, Nonfat Dry Milk*, Salt, Spice),Hydrolyzed Vegetable Protein (Hydrolyzed Soy Protein*, Hydrolyzed Wheat Gluten*, And Yeast Extract),. *Contains Milk,Soybeans,Wheat."
121,Garlic Cloves,"Garlic Cloves,Water,Salt Lactic Acid."
123,Fiordifrutta Raspberry Spread 8. 82 Oz -pack of 6,"Raspberry*,Apple Juice*,Pectin.*From organic farming."
125,Chorizo,"Pork,Maltodextrin,Salt,Paprika,Water,Citric Acid,Spices,Sugar,Wine,Garlic,Extractives of Paprika,Sodium Erythorbate,Sodium Nitrite,Natural Smoke Flavor."
126,"Roland Marinated Mussels, 7 Oz","Mussels,Water,Vinegar,Sugar,Salt,Spices,Citric Acid. May Contain Shell Fragments."
127,"Mrs. Renfro's Raspberry Chipotle Salsa Medium, 16.0 Oz","Tomatoes,Water,Seedless Raspberry Puree,Brown Sugar,Green Chile Peppers,Sweet Green Peppers,Onions,Distilled Vinegar,Corn Starch,Salt,Jalapeno Peppers,Garlic,Chipotle Pepper,Spices,Cilantro,Ancho Chile Pepper."
128,New Weber Chicago Steak Seasoning Grilling 2.5oz ~ Free S/h,"Sea Salt,Garlic,Spices,Onion,Red Bell Pepper and Red Pepper. All natural.,Made with 100 sea salt.,Rub into beef or pork roasts or season mushrooms,bell peppers and potatoes,Gluten free."
129,"Hershey's Whatchamacallit King Size Candy Bar, 2.6 Oz","Sugar,High Fructose Corn Syrup,Crisp Rice,Partially Hydrogenated Vegetable Oil (Palm Kernel And Soybean Oil),Vegetable Oil (Cocoa Butter, Palm, Shea, Sunflower And/Or Safflower Oil),Partially Defatted Peanuts,Nonfat Milk,Chocolate,Partially Hydrogenated Coconut Oil,Corn Syrup Solids,Whey (Milk),Contains 2% Or Less of: Dairy Butter (Milk),Milk Fat,Salt,Mono- And Diglycerides,Soy Lecithin,Molasses,Barley Malt,Vanillin,Artificial Flavor,Disodium Phosphate. Contains Milk,Soy,And Peanut."
130,"Jelly Belly Jelly Beans, Sours","Sugar,Corn Syrup,Modified Food Starch,Contains 2% or Less of the Following Apple Juice Concentrate,Grape Juice Concentrate,Lemon Puree,Cherry Juice Concentrate,Orange Puree,Citric Acid,Fumaric Acid,Sodium Citrate,Sodium Lactate,Natural and Artificial Flavors,Color Added,Red 40 Lake,Blue 1 & 2 Lake,Yellow 5 & 6 Lake,Beeswax,Carnauba Wax,Confectioner's Glaze."
131,"Dickinsons Spreadable Fruit, Red Raspberry","Fruit Syrup,Red Raspberries,Lemon Juice Concentrate,Fruit Pectin."
134,Latkes Mix,"Potatoes (Mono Diglycerides Sodium Acid Pyrophosphates),Potato Starch,Onions,Matzo Meal (Passover Wheat flour Water),Cottonseed Oil,Salt,Potassium Chloride."
135,"Badia Sea Salt Grinder, 4.25 Oz","Sea Salt,Yellow Prussiate of Soda. Does Not Supply Iodide. Pure,Distinctive flavor,Dissolves quickly upon contact with moisture,Harvested from the waters of the Pacific Ocean,Kosher"
136,"El Rio All Natural Seasoning Mix Taco, 1.25 Oz","Unbleached Wheat Flour,Salt,Dextrose,Minced Onion*,Natural Flavor (Flavor, Salt, Yeast Extract, and Maltodextrin),Ground Chili Peppers*,Onion Powder,Spices and Spice Extracts,Soybean Oil,Garlic Powder,Paprika Extract (for Color and Flavor),Paprika Extract (for Color and Flavor),Paprika,and Parsley*.*Dehydrated."
137,"Love Grown Oat Clusters, Raisin Almond Crunch","Certified Gluten-Free Oats,Evaporated Cane Juice,Almonds,Raisins (Raisin, Sunflower Oil),Canola Oil,Coconut,Sunflower Seeds,Vanilla,Flaxseed,Cinnamon,Sea Salt."
138,Sathers Artificially Flavored Cherry Slices Candy #10103 4.85 Oz - 12 Ea,"Corn Syrup,Sugar,Modified Food Starch (Corn),Artificial Flavor,Red 40."
139,"Dickinsons Spreadable Fruit, Boysenberry, Seedless","Fruit Syrup,Boysenberries,Water,Lemon Juice Concentrate,Fruit Pectin."
140,Cinnamon Sticks,"Cinnamon Quills Or Sticks Are An Ancient Spice With Culinary Roots Dating To Pre-Biblical Times. Today,Spice Islands Selects Only The Finest-Quality Whole Cinnamon For Our Cinnamon Sticks. Use Cinnamon Sticks To Add A Festive Note And Aromatic Flavor To Spiced Cider,Tea And Coffee. Cinnamon Sticks Also Add Depth To Stewed Meat,Soups,Pickles,Puddings And Compotes. Try A Cinnamon Stick In Homemade Apple Pie,Cranberry Or Blueberry Sauce. Add A Cinnamon Stick While Heating Milk To Make Custard,Vanilla Sauce Or Pudding."
141,"Hodgson Mill Gluten Free Lasagna Brown Rice Pasta, 8 Oz","100% Whole Grain Brown Rice Flour,Milled Golden Flax Seed."
142,"Crown Prince Fancy White Crab Meat, 6 Oz","Crab Meat (Crustacean Shellfish),Water,Salt,Citric Acid (Ph Regulator),Monosodium Glutamate,Sodium Sulfite (Whitening Agent),."
143,"S&b Oriental Hot Mustard Powder, 3 Oz","Mustard,Turmeric."
144,"La Preferida Sardines In Tomato Sauce, 15 Oz","Sardines,Tomato Sauce,Spices and Salt."
145,Emerils Essence Ital,"Spices,Oregano,Basil,Rosemary,Parsley,Marjoram,Soybean Oil."
146,"La Preferida Salsa, Mild","Tomatoes (Organic),(Tomatoes (Organic), Tomato Juice (Organic), Citric Acid, Calcium Chloride),Tomato Puree (Organic),(Water, Tomato Paste (Organic)),Onions (Organic),Green Bell Peppers (Organic),Red Bell Peppers (Organic),Sea Salt,Jalapenos (Organic),Dried Cane Syrup (Organic),Vinegar (Organic),Cilantro (Organic),Spices (Organic),."
147,"Love Grown Oats, Hot, Strawberry Raspberry","Certified Gluten-Free Oats,Brown Sugar,Raspberries,Strawberries,Cinnamon."
148,Vigo Octopus In Soy and Olive Oil,"Octopus,Soy and Olive Oil,Salt Added."
149,"Spice Islands: Ground Nutmeg Spice, 2.1 Oz","Originally Discovered In The Fabled Spice Islands,We Now Travel To The West Indies To Bring You This Premium-Quality Aromatic Ground Nutmeg. We Carefully Select Superior Nutmeg Nuts To Dry And Grind For Use In This Convenient Shaker. Ground Nutmeg Is A Traditional Favorite In Home Baking And Is Especially Complementary In Sweet Breads,Cakes,Muffins,Cookies And Fruit Pies. Add To Creamy Soups,Pasta And Vegetable Sauces And Eggnog."
151,Seafood Steamers Garlic Butter Seasoning and Bag,"Cream Solids (Milk),Nonfat Dry Milk,Butter (Cream (Milk), Salt),Garlic,Salt,Modified Corn Starch,Onion,Herb and Spice,Xanthan Gum,Silicon Dioxide (Added to Make Free Flowing),Cultured Whey (Milk),Soy Lecithin,and Annatto Extract."
152,White Crab Meat,"Crab Meat,Water,Salt,Salt Sodium Acid Pyrophosphate (to Maintain Flavor And Firmness),Citric Acid,Calcium Disodium Edta (to Retain Color),Sodium Sulfite (Preservative),."
153,"Iced Tea, Lemon, 16 fl oz (473 ml)","Filtered Water,Sugar,Citric Acid,Tea,Natural Flavors."
154,Crunch Candy Bars 2.7 oz,"Milk Chocolate (Sugar, Chocolate, Cocoa Butter, Nonfat Milk, Lactose, Milkfat, Soy Lecithin, Vanillin--An Artificial Flavor),Crisped Rice (Rice Flour, Sugar, Barley Malt, Salt),. Contains: Milk And Soy Ingredients. May Contain: Peanuts,Nuts And Wheat."
155,Dell'alpe Hot Giardiniera - 16oz,"Peppers,Soybean Oil,Celery,Olives,Vinegar,Salt,Spices."
156,"A.C. Legg INC #10 Pork Sausage Seasoning, 8 oz","Salt, Red Pepper, Sage, Sugar and Black Pepper,Salt,Red Pepper,Sage,Sugar and Black Pepper"
157,Bakery On Main Gluten-Free,"Certified Gluten Free Oats, Cane Sugar, Flax Meal, Natural Flavors, Chia Seeds, Quinoa, Amaranth, Sea Salt,Certified Gluten Free Oats, Cane Sugar, Flax Meal, Freeze Dried Strawberries, Chia Seeds, Quinoa, Amaranth, Natural Flavors, Sea Salt."
158,Paleo Chocolate Chip Cookies with Pecans - 12 Paleo Cookies | the Perfect Paleo Snack or Treat | Gluten Free,"Almonds,dates,chocolate chunks (Evaporated Cane Juice; Chocolate Liquor; Non-Dairy Cocoa Butter),pecans,unsweetened applesauce,organic coconut oil,molasses,maple syrup,vanilla extract,cinnamon,salt,baking soda."
159,Guava Paste,"Guava Pulp,Refined Sugar,Citric Acid,FDC Red 3,FDC Red 40,Pectin."
160,"Chunky Candy Bar, 1.4 Oz","Milk Chocolate (Sugar, Cocoa Butter, Chocolate Processed With Alkali, Milk, Lactose, Milkfat, Natural and Artificial Flavors, Soy Lecithin),Raisins,Peanuts,Tbhq and Citric Acid"
161,"Pretzel Rods, 10 oz (283.5 g)","Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, and Folic Acid),Vegetable Oil (Contains Partially Hydrogenated Cottonseed and/or Soybean Oil),Salt,Corn Syrup,Yeast,Malt Extract,Sodium Bicarbonate,and Ammonium Bicarbonate."
163,"Ritz Crackers, Whole Wheat, 14.20 oz","Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid),Whole Grain Wheat Flour,Soybean Oil,Sugar,Partially Hydrogenated Cottonseed Oil,Leavening (Calcium Phosphate and/or Baking Soda),Salt,High Fructose Corn Syrup,Soy Lecithin."
164,"Ritz Crackers, Original, 15.1 oz","Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid),Soybean Oil,Sugar,Partially Hydrogenated Cottonseed Oil,Salt,Leavening (Baking Soda and/or Calcium Phosphate),High Fructose Corn Syrup,Soy Lecithin,Malted Barley Flour,Natural Flavor."
165,"Sunshine, Cheez-It Baked Snack Crackers Variety Caddy, 12 ct, 12 oz","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID),VEGETABLE OIL (SOYBEAN AND PALM OIL WITH TBHQ FOR FRESHNESS),CHEESE MADE WITH SKIM MILK (SKIM MILK, WHEY PROTEIN, CHEESE CULTURES, SALT, ENZYMES, ANNATTO EXTRACT FOR COLOR),CONTAINS TWO PERCENT OR LESS OF SALT,PAPRIKA,YEAST,PAPRIKA OLEORESIN FOR COLOR,SOY LECITHIN."
166,Folgers Toasted Hazelnut Flavored Ground Coffee,"Coffee, Artificial Flavor.,Coffee,Natural and Artificial Flavor."
167,Glazed Nuts - Cashews With Pomegranate And Vanilla - 1.5 Oz - Case Of 9,"Cashews,Dried Apples (Apples, Sugar, Natural Pomegranate Flavor, Citric Acid, Fruit Vegetable Juice (for Color)),Organic Evaporated Cane Juice,Organic Tapioca Syrup,Brown Sugar,Natural Vanilla Extract,Sea Salt,Dried Pomegranate Juice Concentrate,Dried Orange Peel,Pure Ground Vanilla Beans."
168,"Wonderful Pistachios Roasted & Salted Pistachios, 10 Oz","Pistachios,Salt."
170,Nestlï¿½ï¿½ Coffee-mate Peppermint Mocha Coffee Creamer 50.7 Fl. Oz. Pump,"Sugar,Water,Partially Hydrogenated Soybean and/or Cottonseed Oil,Sodium Caseinate (a Milk Derivative),**,and Less than 2 of Natural and Artificial Flavors,Propylene Glycol,Dipotassium Phosphate,Polysorbate 60,Sodium Stearoyl Lactylate,Color Added,Sucralose (Non-Nutritive Sweetener),. ** Not a Source of Lactose."
171,LesserEvil Super Bites,"White bean flour, rice blend (rice flour, brown rice), dehydrated potato, organic sunflower oil, chia powder, organic evaporated cane juice, organic red bell pepper powder, sea salt, organic tapioca solids, organic onion powder, organic tomato powder, organic garlic powder, natural flavor, organic spices, natural extractives of paprika, citric acid,White Bean Flour,Rice Blend (Rice Flour, Brown Rice),Dehydrated Potato,Organic Sunflower Oil,Tapioca Flour,Quinoa Flour,Lentil Flour,Chia Powder,Organic Evaporated Cane Juice,Organic Red Bell Pepper Powder,Sea Salt,Organic Tapioca Solids,Organic Onion Powder,Organic Tomato Powder,Organic Garlic Powder,Natural Flavor,Organic Spices,Natural Extractives of Paprika,Citric Acid."
172,"Sevigny's Thin Ribbon Candy, 9 Oz","Sugar,Corn Syrup,Natural And Artificial Flavors,Us Certified Colors Including Yellow 5,Yellow 6,Blue 1,Red 3 Red 40."
173,Ssnng Chili Pwdr,"Contains: Paprika,Cumin,Cayenne Pepper,Garlic,Parsley,Oregano and Black Pepper."
174,"Red Hots Cinnamon Flavored Candy, 6 Oz","Sucrose,Corn Syrup,Artificial Flavor,Acacia (Gum Arabic),Confectioner's Glaze,Carnauba Wax*,Red 40,White Mineral Oil*. *Adds A Trivial Amount of Fat."
175,Pez Candy & Dispenser,"For Pez Candy (Except Chocolate),: Sugar,Corn Syrup,Adipic Acid,Hydrog. Palm Kernel & Palm Oils and Soybean Oil,Mono & Diglycerides,Natural & Artificial Flavors,Artificial Colors FD&C Red 3,Yellow 5,Yellow 6,Blue 2,Cola also Contains Sodium Bicarb.,Color. For Pez Chocolate Flavored Candy: Sugar,Corn Syrup,Hydrog. Palm Kernel & Palm Oils and Soybean Oil,Mono & Diglycerides,Artificial Flavor,Color."
176,"Rosenborg Crumbled Danish Blue Cheese, 5 Oz","Milk,Salt,Cheese Culture,Rennet,P. Roqueforti."
177,S WHITE CHE2.25OZ DDAR 2.25 OZ,"Popcorn,Vegetable Oil (Corn, Canola and/Or Sunflower Oil),Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes),Whey,Buttermilk and Salt."
178,"King's Hawaiian Original Hawaiian Sweet Rolls, 18 Count, 18 Oz","Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Water,Sugar,Liquid Sugar (Sugar, Water),Butter (Pasteurized Cream, Salt),Eggs,Contains Less Than 2% of Each of The Following: Potato Flour,Yeast,Whey,Nonfat Milk,Soy Flour,Salt,Degerminated Yellow Corn Flour,Wheat Gluten,Sodium Stearoyl Lactylate,Datem,Monocalcium Phosphate,Wheat Flour,Calcium Sulfate,Sodium Silicoaluminate,Ascorbic Acid Added As A Dough Conditioner,Ammonium Sulfate,Wheat Starch,Sorbitan Monostearate,Enzymes,Microcrystalline Cellulose,Calcium Silicate. Contains: Wheat,Milk,Eggs,Soy."
179,FUZE ICED TEA STRAWB2LT ERRY RED TEA-KO,"Water,High Fructose Corn Syrup,Natural Flavors,Citric Acid,Sodium Hexametaphosphate (to protect taste),Phosphoric Acid,Red Rooibos Tea Powder,Potassium Sorbate and Sodium Benzoate (to protect Taste),Sucralose,Calcium Disodium EDTA (to protect taste),Vitamin B6 (Pyridoxine Hydrochloride),Red 40,Vitamin B12 (Cyanocobalamin),."
180,Hint of Salt Crackers 9.1 oz,"Whole Grain Wheat Flour,Soybean Oil,Sugar,Cornstarch,Malt Syrup (from Corn and Barley),Invert Sugar,Salt,Vegetable Color (Annatto Extract, Turmeric Oleoresin),. BHT Added to Packaging Material to Preserve Freshness."
181,Adobo Without Pepper,"Salt,Granulated Garlic,Tricalcium Phosphate (Prevents Caking),Oregano,Turmeric."
182,"Great Value Extra Creamy Whipped Cream, 6.5 Oz","Heavy Cream,Sugar,Contains Less Than 1% of: Artificial Flavor,Mono And Diglycerides,Polysorbate 80,Carrageenan,Mixed Tocopherols (Vitamin E),to Protect Flavor,Propellant: Nitrous Oxide. Allergy Warning: Contains Milk."
183,"Great Value Extra Creamy Whipped Cream, 13 Oz","Heavy Cream,Sugar,Contains Less Than 1% of: Artificial Flavor,Mono And Diglycerides,Polysorbate 80,Carrageenan,Mixed Tocopherols (Vitamin E),to Protect Flavor,Propellant: Nitrous Oxide. Allergy Warning: Contains Milk."
184,Artisana Nut Bttr Ccnut Raw Sqz Pk Org 1.06 Oz (pack of 10),"Organic Raw Coconut (100),."
185,"SNICKERS Holiday Full Size Chocolate Bars Candy Tree, 1.1 oz","MILK,CHOCOLATE (SUGAR,COCOA BUTTER,CHOCOLATE,SKIM MILK,LACTOSE,MILK FAT,SOY LECITHIN,ARTIFICIAL FLAVOR),PEANUTS,SUGAR,INVERT SUGAR,HYDROGENATED PALM KERNEL OIL AND/OR PALM OIL,CORN SYRUP,LESS THAN 2% - PALM OIL,BUTTER,MILKFAT,PARTIALLY HYDROGENATED SOYBEAN OIL,SALT,POTASSIUM SORBATE TO MAINTAIN FRESHNESS,ARTIFICIAL FLAVOR.,Milk Chocolate (Sugar, Cocoa Butter, Chocolate, Skim Milk, Lactose, Milkfat, Soy Lecithin, Artificial Flavor),Peanuts,Sugar,Invert Sugar,Hydrogenated Palm Kernel Oil and/or Palm Oil,Corn Syrup,Skim Milk,Less than 2% - Palm Oil,Butter,Milkfat,Partially Hydrogenated Soybean Oil,Salt,Soy Lecithin,Potassium Sorbate to Maintain Freshness,Artificial Flavor."
186,"Great Value Original Whipped Light Cream, 6.5 Oz","Cream,Milk,Sugar,Dextrose,Contains Less Than 1% of: Sorbitan Monostearate,Artificial Flavor,Carrageenan,Mixed Tocopherols (Vitamin E),to Protect Flavor,Propellant: Nitrous Oxide. Allergy Warning: Contains Milk."
187,Bear Creek Soup Mix,"Enriched Egg Noodles (Wheat Flour, Eggs, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Sugar,Soy Sauce (Wheat, Soybeans, Salt),Modified Corn Starch,Chow Mein Flavor (Citric Acid, Roasted Sesame Oil, Onions),Salt,Partially Hydrogenated Soybean Oil,Bell Peppers,Mushrooms,Monosodium Glutamate,Malic Acid,Tofu (Soybean, Calcium Sulfate),Vinegar,Caramel (Color),Spices."
188,Gefilte Fish,"Water,Carp,Whitefish,Egg Whites,Sugar,Mullet,Matzo Meal (Passover Wheat Flour and Water),Onion,Salt,Pike,Monosodium Glutamate,Xanthan Gum,Carob Seed Gum,Pepper,Natural Flavorings."
189,Kellogg's174 Pop-Tarts174 Frosted Brown Sugar Cinnamon Pastries - 8ct,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Vitamin B1 [Thiamin Mononitrate] Vitamin B2 [Riboflavin], Folic Acid), Sugar, Soybean and Palm Oil (with TBHQ for Freshness), Corn Syrup, Dextrose, High Fructose Corn Syrup, Cracker Meal, Contains Two Percent or Less of Molasses, Salt, Calcium Carbonate, Leavening (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Cinnamon, Wheat Starch, Gelatin, Caramel Color, Soy Lecithin, Vitamin A Palmitate, Niacinamide, Reduced Iron, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamin Hydrochloride)."
190,Natco - Sarson Ka Saag - 800g,"Mustard Leaves,Onion,Ginger,Garlic,Chillies,Salt,Cornflour and Vegetable Oil."
191,Alaska Smokehouse Smoked Sockeye Fillet in Gift Box,"Salmon,Salt,Spices,Natural Alder Smoke."
192,"Marvel The Avengers Fruit Snacks, 8 oz","Corn Syrup,Sugar,Apple Puree Concentrate,Water,Modified Cornstarch,Gelatin,Contains Two Percent Or Less of Citric Acid,Ascorbic Acid (Vitamin C),Natural And Artificial Flavors,Coconut Oil*,Carnauba Wax,Red #40,Yellow #5,Sodium Citrate,Blue #1. *Adds A Trivial Amount of Fat."
193,The Great San Saba River Pecan Company Apple Pecan Spread,"Apples,Corn Syrup,Sugar,Pecans,Lemon Juice,Spices."
194,Byler's Homemade Amish Country Blueberry Jalapeno Jam 16oz,"sugar,blueberries,jalapenos,water,fruit pectin,citric acid Volume: 1 PT. (16 Fl Oz.),(473ml),Fat Free,Sodium Free,50 calories per serving Daves Specialty Foods is a division of Daves Christmas Wonderland Olde World Market,a WNY tradition and world famous Christmas Store,based in Cheektowaga,NY and serving Buffalo and the WNY area for over 33 years. We are proud to share Buffalos rich ethnic heritage and traditions with our specialty food products.Closely guarded old family recipe Open kettle processing (made in small batches),for superior flavor Homemade in Saegertown,Pa in the heart of Amish country Reg. PA Department of Agriculture and FDA inspected This sweet fresh blueberry jam has a spicy jalapeno kick that will add more flavor than all your other spreads and jams Ingredients: sugar,blueberries,jalapenos,water,fruit pectin,citric acid Volume: 1 PT. (16 Fl Oz.),(473ml),Fat Free,Sodium Free,50 calories per serving Daves Specialty Foods is a division of Daves Christmas Wonderland Olde World Market,a WNY tradition and world famous Christmas Store,based in Cheektowaga,NY and serving Buffalo and the WNY area for over 33 years. We are proud to share Buffalos rich ethnic heritage and traditions with our specialty food products."
195,Byler's Relish House Homemade Amish Country No Sugar Added Grape Jelly 16 oz.,"grapes,white grape juice,water,sugar-free pectin,citric acidVolume: 1 PT. (16 Fl Oz.),(473ml),Fat Free,Sodium Free,No Sugar AddedDaves Specialty Foods is a division of Daves Christmas Wonderland & Olde World Market,a WNY tradition and world famous Christmas Store,based in Cheektowaga,NY and serving Buffalo and the WNY area for over 33 years. We are proud to share Buffalos rich ethnic heritage and traditions with our specialty food products.No Sugar Added Grape Fruit SpreadItem #DMG BYLERS 231Closely guarded old family recipeOpen kettle processing (made in small batches),for superior flavorHomemade in Saegertown,PA in the heart of Amish CountryReg. PA Department of Agriculture and FDA inspectedThis jelly is just as delicious as our regular flavor,but has 40% less sugar! Real fruit is blended with white grape juice to preserve tasteIngredients: grapes,white grape juice,water,sugar-free pectin,citric acidVolume: 1 PT. (16 Fl Oz.),(473ml),Fat Free,Sodium Free,No Sugar AddedDaves Specialty Foods is a division of Daves Christmas Wonderland & Olde World Market,a WNY tradition and world famous Christmas Store,based in Cheektowaga,NY and serving Buffalo and the WNY area for over 33 years. We are proud to share Buffalos rich ethnic heritage and traditions with our specialty food products."
